epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,50.1262,1.27986,0.69164,0.94032,0.9132,0.82325,0.90847,0.52382,1.20577,0.63955,0.95196,0.00100459,0.00100459,0.00100459
17,52.8609,1.22712,0.67461,0.94308,0.94818,0.86412,0.91585,0.54888,1.19477,0.66625,0.93823,0.000976293,0.000976293,0.000976293
18,55.5111,1.1929,0.62737,0.94115,0.86695,0.87859,0.90782,0.52854,1.28315,0.62566,0.9639,0.000947999,0.000947999,0.000947999
19,58.4211,1.19609,0.60967,0.92619,0.85338,0.84495,0.88407,0.541,1.25996,0.57503,0.96026,0.000919704,0.000919704,0.000919704
20,61.8745,1.18986,0.61367,0.96072,0.91558,0.87459,0.9122,0.53534,1.34564,0.62582,0.98276,0.00089141,0.00089141,0.00089141
21,64.6266,1.23395,0.59369,0.94732,0.93301,0.8496,0.91566,0.54638,1.19841,0.56863,0.94098,0.000863116,0.000863116,0.000863116
22,67.239,1.20477,0.58402,0.93364,0.82503,0.83317,0.85223,0.4634,1.41687,0.65881,0.99938,0.000834822,0.000834822,0.000834822
23,69.894,1.17509,0.5714,0.93556,0.90371,0.874,0.91319,0.53724,1.29036,0.55551,0.95751,0.000806528,0.000806528,0.000806528
24,73.2665,1.12422,0.5573,0.92443,0.89368,0.91005,0.93009,0.57173,1.22894,0.52337,0.94555,0.000778233,0.000778233,0.000778233
25,76.1889,1.11989,0.53503,0.91615,0.91092,0.8615,0.91331,0.53904,1.19,0.52399,0.93387,0.000749939,0.000749939,0.000749939
26,78.8512,1.12544,0.53379,0.92765,0.92104,0.85414,0.9118,0.53984,1.14635,0.50396,0.9181,0.000721645,0.000721645,0.000721645
27,81.5374,1.08606,0.52829,0.91317,0.89448,0.85837,0.91035,0.53408,1.24509,0.53502,0.94932,0.000693351,0.000693351,0.000693351
28,84.21,1.14242,0.53796,0.91843,0.88093,0.87473,0.91198,0.56015,1.22075,0.49211,0.94194,0.000665057,0.000665057,0.000665057
29,87.7514,1.16171,0.54047,0.93419,0.90028,0.87851,0.91406,0.55588,1.25545,0.51697,0.95233,0.000636762,0.000636762,0.000636762
30,90.4206,1.1425,0.53332,0.92141,0.85516,0.89062,0.90366,0.56187,1.25479,0.53231,0.94872,0.000608468,0.000608468,0.000608468
31,93.0097,1.10023,0.52593,0.91912,0.87431,0.8734,0.9083,0.55994,1.24827,0.53296,0.94638,0.000580174,0.000580174,0.000580174
32,95.6793,1.08968,0.50728,0.91666,0.92411,0.87757,0.92215,0.56289,1.26625,0.51827,0.97436,0.00055188,0.00055188,0.00055188
33,98.958,1.09826,0.50432,0.92688,0.92323,0.86746,0.91526,0.56506,1.21193,0.5123,0.95019,0.000523586,0.000523586,0.000523586
34,101.924,1.10644,0.51036,0.92763,0.90512,0.90912,0.93243,0.57554,1.22438,0.50469,0.95523,0.000495291,0.000495291,0.000495291
35,104.659,1.08553,0.51014,0.91629,0.90247,0.89378,0.93958,0.56004,1.26529,0.49195,0.95646,0.000466997,0.000466997,0.000466997
36,107.283,1.07217,0.49966,0.89704,0.96167,0.87544,0.9336,0.56758,1.21917,0.46709,0.94747,0.000438703,0.000438703,0.000438703
37,109.945,1.04592,0.49021,0.90885,0.93562,0.89375,0.92683,0.56004,1.23484,0.49062,0.96711,0.000410409,0.000410409,0.000410409
38,113.405,1.074,0.49337,0.89538,0.95565,0.86946,0.92356,0.54086,1.25893,0.51976,0.95843,0.000382115,0.000382115,0.000382115
39,116.167,1.03398,0.47775,0.90135,0.96385,0.87208,0.92955,0.57303,1.1961,0.50391,0.95319,0.00035382,0.00035382,0.00035382
40,118.79,1.08013,0.48867,0.90183,0.87976,0.90912,0.93399,0.54832,1.29385,0.49475,0.95684,0.000325526,0.000325526,0.000325526
41,123.56,1.09243,0.53786,0.9319,0.88809,0.91997,0.93718,0.54591,1.28115,0.4815,0.95953,0.000297232,0.000297232,0.000297232
42,127.093,1.05977,0.48862,0.91324,0.8831,0.90448,0.93831,0.52464,1.30509,0.48139,0.96022,0.000268938,0.000268938,0.000268938
43,129.727,1.05375,0.47992,0.92541,0.90348,0.90505,0.93794,0.53831,1.23609,0.48599,0.93832,0.000240644,0.000240644,0.000240644
44,132.375,1.05874,0.47043,0.9382,0.89969,0.87974,0.92341,0.56265,1.20256,0.49921,0.9417,0.000212349,0.000212349,0.000212349
45,134.965,1.01506,0.45973,0.91425,0.898,0.90819,0.92081,0.5419,1.26357,0.49619,0.95964,0.000184055,0.000184055,0.000184055
46,137.748,1.02426,0.46346,0.91127,0.87205,0.9055,0.91108,0.55398,1.27358,0.48691,0.96322,0.000155761,0.000155761,0.000155761
47,140.926,0.98656,0.45123,0.90207,0.89395,0.86834,0.91239,0.55735,1.2345,0.48136,0.9506,0.000127467,0.000127467,0.000127467
48,143.538,1.06868,0.4616,0.91588,0.86947,0.89536,0.92171,0.56031,1.24167,0.4746,0.94716,9.91726e-05,9.91726e-05,9.91726e-05
49,146.097,0.9943,0.44565,0.90666,0.88285,0.89397,0.919,0.55705,1.23379,0.47055,0.94383,7.08784e-05,7.08784e-05,7.08784e-05
50,148.685,1.04676,0.47726,0.89298,0.87616,0.89751,0.91783,0.54721,1.22666,0.472,0.94275,4.25842e-05,4.25842e-05,4.25842e-05
